"brand_name","generic_name","years_with_data","mean_beneficiaries","latest_beneficiaries","mean_dosage_unit","latest_dosage_unit","cancer_drug","notes"
"Cilostazol","Cilostazol","12","194380.5","199211","79476400.8","86853848","no","Phosphodiesterase III inhibitor; treats intermittent claudication"
"Mycophenolate Mofetil","Mycophenolate Mofetil","12","69713.8","105503","57401394.3","86690404.459","no","Immunosuppressant; prevents organ transplant rejection"
"Lansoprazole","Lansoprazole","12","329872.6","303222","77990005.3","84564153.028","no","Proton pump inhibitor; treats GERD and peptic ulcers"
"Janumet","Sitagliptin Phos/Metformin HCl","12","195518.8","168527","92001728.4","84530665.889","no","DPP-4 inhibitor/metformin combo; treats type 2 diabetes"
"Mupirocin","Mupirocin","12","1702398.5","2467308","64637284.4","83327745.891","no","Topical antibiotic; treats skin infections including impetigo"
"Diltiazem HCl*","Diltiazem HCl","10","217136.8","197018","89629333","81838785.745","no","Calcium channel blocker; treats hypertension, angina, arrhythmias"
"Temazepam","Temazepam","12","534586.5","394771","92234567.2","80559678.7","no","Benzodiazepine; treats insomnia"
"Doxepin HCl*","Doxepin HCl","10","236653.7","276316","63665360.5","79721409.477","no","Tricyclic antidepressant; treats depression and insomnia"
"Carbidopa-Levodopa ER","Carbidopa/Levodopa","12","104200.3","119402","67705741.8","78589937.426","no","Dopamine precursor ER; treats Parkinson's disease"
"Klor-Con M20","Potassium Chloride","11","453107.9","274807","114414825.9","78026616.667","no","Electrolyte supplement; treats/prevents hypokalemia"
"Bisoprolol Fumarate","Bisoprolol Fumarate","12","179056.4","262683","48410044.1","76646730.24","no","Beta-blocker; treats hypertension and heart failure"
"Potassium Citrate ER","Potassium Citrate","12","98117.6","131779","55348085.5","75429360.119","no","Alkalinizing agent; prevents kidney stones"
"Prazosin HCl","Prazosin HCl","12","134861.3","206010","49160218.3","74734401.632","no","Alpha-1 blocker; treats hypertension, PTSD nightmares"
"Propranolol HCl ER","Propranolol HCl","12","190872.8","243981","55671138.7","73699601.989","no","Non-selective beta-blocker ER; treats hypertension and tremor"
"Ultra-Fine Nano Pen Needle","Pen Needle, Diabetic","10","370745.3","212572","146858372.3","73487832.546","no","Diabetic supply; pen needle for insulin injection"
"Testosterone","Testosterone","10","64737.9","116916","38665539.6","73109435.5","no","Androgen hormone; treats hypogonadism and low testosterone"
"Pradaxa","Dabigatran Etexilate Mesylate","12","208717.2","144821","102267364","72682464","no","Direct thrombin inhibitor; prevents stroke in atrial fibrillation"
"Tradjenta","Linagliptin","12","250324.3","286808","58219625","71687221.889","no","DPP-4 inhibitor; treats type 2 diabetes"
"Dexamethasone","Dexamethasone","12","551184.7","850184","50902363.2","71368840.684","no","Corticosteroid; treats inflammation, allergies, autoimmune conditions"
"Metronidazole*","Metronidazole","10","1489273.4","1528785","64936451.1","70707432.559","no","Nitroimidazole antibiotic; treats anaerobic bacterial and protozoal infections"
"Ciprofloxacin HCl*","Ciprofloxacin HCl","10","4122655.2","3519833","85250709.3","70259521.645","no","Fluoroquinolone antibiotic; treats bacterial infections"
"Lidocaine HCl Viscous","Lidocaine HCl","12","204554.7","244199","62488295.3","70132161.22","no","Local anesthetic; treats oral pain and mucositis"
"Alcohol Prep Pads","Alcohol Antiseptic Pads","12","168357.2","178376","76051752.5","69614431.665","no","Antiseptic pad; skin preparation before injection"
"Alfuzosin HCl ER","Alfuzosin HCl","12","164485.2","271716","39134138.2","69289185","no","Alpha-1 blocker ER; treats benign prostatic hyperplasia"
"Folic Acid*","Folic Acid","10","101305.8","271059","24428408.5","69042058.443","no","B vitamin supplement; treats/prevents folate deficiency anemia"
"Buprenorphine-Naloxone","Buprenorphine HCl/Naloxone HCl","11","66055.2","148389","26272572.5","68488687.211","no","Partial opioid agonist/antagonist; treats opioid use disorder"
"Calcitriol*","Calcitriol","10","280262","310587","59133380.8","68076369.213","no","Active vitamin D; treats hypocalcemia and renal osteodystrophy"
"Hydromorphone HCl*","Hydromorphone HCl","10","257293.6","234154","89099798.3","68039665.98","no","Opioid analgesic; treats severe pain"
"Clozapine","Clozapine","12","64238.7","64860","71780562","66852440.448","no","Atypical antipsychotic; treats treatment-resistant schizophrenia"
"Clotrimazole-Betamethasone","Clotrimazole/Betamethasone Dip","12","830057.7","919463","61320257.5","66491142.03","no","Antifungal/corticosteroid combo; treats fungal skin infections with inflammation"
"Olmesartan-Hydrochlorothiazide","Olmesartan/Hydrochlorothiazide","8","179114.6","234430","42060248.7","66139605.824","no","ARB/diuretic combo; treats hypertension"
"Lidocaine","Lidocaine","12","450161.8","481042","81333935.2","65554210.952","no","Local anesthetic; treats topical pain and minor skin conditions"
"Clenpiq","Sod Picosulf/Mag Ox/Citric Ac","6","73034.8","184930","24518404.4","64467260","no","Osmotic laxative; bowel preparation before colonoscopy"
"Venlafaxine HCl","Venlafaxine HCl","12","190925","167773","70101034","63783984.5","no","SNRI antidepressant; treats depression and anxiety"
"Liothyronine Sodium*","Liothyronine Sodium","10","126714.7","171270","42611123.3","63179622.851","no","Thyroid hormone (T3); treats hypothyroidism"
"Azithromycin*","Azithromycin","10","5506938.5","5970026","55336899.1","62039177.252","no","Macrolide antibiotic; treats bacterial infections"
"Ursodiol","Ursodiol","12","80253.8","102032","45838119.1","61904329.5","no","Bile acid; treats gallstones and primary biliary cholangitis"
"Tacrolimus*","Tacrolimus","10","110323.3","204385","44387830.2","61473531.312","no","Immunosuppressant; prevents organ transplant rejection"
"Isosorbide Dinitrate","Isosorbide Dinitrate","12","138788.1","129460","62994853.8","60532704.023","no","Nitrate vasodilator; treats and prevents angina"
"Dutasteride","Dutasteride","9","188887","224682","44381457","60447761","no","5-alpha reductase inhibitor; treats BPH"
"Repaglinide","Repaglinide","11","73030.2","85718","44927924.4","60315626.5","no","Meglitinide; stimulates insulin release for type 2 diabetes"
"Nitrofurantoin Mono-Macro","Nitrofurantoin Monohyd/M-Cryst","12","1737407.9","2638012","42287971.9","58828505.739","no","Nitrofurantoin antibiotic; treats and prevents urinary tract infections"
"Ipratropium Bromide*","Ipratropium Bromide","10","501996.1","743544","43880147.9","58613294.476","no","Anticholinergic bronchodilator; treats COPD and asthma"
"Colestipol HCl","Colestipol HCl","12","95106.2","141803","41002926.7","58368980.576","no","Bile acid sequestrant; lowers LDL cholesterol"
"Carbamazepine ER","Carbamazepine","12","73587.4","83596","50816934.3","58296211.905","no","Anticonvulsant ER; treats epilepsy and trigeminal neuralgia"
"Diphenoxylate-Atropine","Diphenoxylate HCl/Atropine","12","338676.7","309660","61958766.5","57646820","no","Antidiarrheal; treats acute and chronic diarrhea"
"Methadone HCl*","Methadone HCl","10","111216","68081","114837297.5","57321176.5","no","Opioid analgesic; treats severe pain and opioid use disorder"
"Ventolin HFA","Albuterol Sulfate","12","1683298.1","956475","93155736.1","57138959.382","no","Short-acting beta-2 agonist inhaler; relieves bronchospasm"
"Zonisamide","Zonisamide","12","57628.9","69343","43256711.5","56883301.16","no","Anticonvulsant; treats partial and generalized seizures"
"Colchicine","Colchicine","9","379615","553640","35891709.3","56700066.696","no","Anti-inflammatory; treats and prevents gout flares"
"Loperamide","Loperamide HCl","12","285118.7","389634","40202353.8","56493372.142","no","Antidiarrheal; treats acute and chronic diarrhea"
"Methimazole","Methimazole","12","143361.5","202878","38851212.5","56314396.185","no","Antithyroid agent; treats hyperthyroidism"
"Bupropion HCl","Bupropion HCl","12","156778.2","169659","48326993","56206427.21","no","Antidepressant (NDRI); treats depression"
"Lithium Carbonate","Lithium Carbonate","12","122644.2","103265","67806163.1","55907751.75","no","Mood stabilizer; treats bipolar disorder"
"Clindamycin HCl","Clindamycin HCl","12","1583647","1633351","57409023.9","55796591.55","no","Lincosamide antibiotic; treats serious bacterial infections"
"Ipratropium-Albuterol","Ipratropium/Albuterol Sulfate","12","230552.5","182448","88193203.5","55704401.43","no","Anticholinergic/beta-agonist combo inhaler; treats COPD"
"Methenamine Hippurate","Methenamine Hippurate","12","84254.6","161162","27527286.8","55254255.614","no","Urinary antiseptic; prevents recurrent urinary tract infections"
"Colesevelam HCl","Colesevelam HCl","6","59191.8","66749","45780485","53440766.4","no","Bile acid sequestrant; lowers LDL cholesterol and blood glucose"
"Letrozole","Letrozole","12","137871.4","198661","34998181.6","53136859.406","yes","Aromatase inhibitor; treats hormone receptor-positive breast cancer"
"Amantadine","Amantadine HCl","12","91153.1","98048","42918907.7","51662947.041","no","Dopaminergic; treats Parkinson's disease and drug-induced EPS"
"Symbicort","Budesonide/Formoterol Fumarate","12","918607","984400","47265685","51355547.042","no","ICS/LABA inhaler; treats asthma and COPD"
"Latanoprost","Latanoprost","12","1720769","2403493","34165685.7","51092739.069","no","Prostaglandin analog; treats open-angle glaucoma"
"Phenobarbital","Phenobarbital","12","61420.1","52777","59035374.2","49957947.381","no","Anticonvulsant/barbiturate; treats epilepsy and seizures"
"Haloperidol","Haloperidol","12","166291.8","136327","54075788.1","49652150.751","no","Typical antipsychotic; treats schizophrenia and acute psychosis"
"Bisoprolol-Hydrochlorothiazide","Bisoprolol/Hydrochlorothiazide","10","163989.8","145398","51581440.5","49129993.9","no","Beta-blocker/diuretic combo; treats hypertension"
"Doxycycline Monohydrate","Doxycycline Monohydrate","12","742408.5","1315899","28849739.5","48771709.071","no","Tetracycline antibiotic; treats bacterial infections and acne"
"Morphine Sulfate*","Morphine Sulfate","10","241593","221130","64869969","48674314.943","no","Opioid analgesic; treats severe pain"
"Raloxifene HCl","Raloxifene HCl","10","218728.8","169339","56163278.9","48626200.924","no","Selective estrogen receptor modulator; prevents/treats osteoporosis"
"Novolog Flexpen","Insulin Aspart","12","519878.9","588526","41610645.7","48302818.2","no","Rapid-acting insulin analog; treats type 1 and type 2 diabetes"
"Azathioprine","Azathioprine","12","83359.6","90745","39375877","46365228.754","no","Immunosuppressant; treats autoimmune diseases and prevents transplant rejection"
"Nabumetone","Nabumetone","12","285655.5","222409","56245997.5","46174880","no","NSAID; treats osteoarthritis and rheumatoid arthritis"
"Butalbital-Acetaminophen-Caffe","Butalb/Acetaminophen/Caffeine","12","166741.9","185132","37814482.6","45708625","no","Barbiturate/analgesic combo; treats tension-type headaches"
"Silver Sulfadiazine","Silver Sulfadiazine","12","237169.2","251600","47310531.4","45602862.204","no","Topical antimicrobial; treats burn wound infections"
"Cyclosporine*","Cyclosporine","10","30913.9","188711","7482234.3","45429929.7","no","Immunosuppressant; prevents organ transplant rejection"
"Glipizide-Metformin","Glipizide/Metformin HCl","12","65790.9","60573","43330488.6","44690998","no","Sulfonylurea/metformin combo; treats type 2 diabetes"
"Irbesartan-Hydrochlorothiazide","Irbesartan/Hydrochlorothiazide","12","104637","143244","28789188","44266675.5","no","ARB/diuretic combo; treats hypertension"
"Spiriva Handihaler","Tiotropium Bromide","6","372234","236984","72378283.9","44146326","no","LAMA inhaler; treats COPD"
"Desvenlafaxine Succinate ER","Desvenlafaxine Succinate","7","117337.4","156744","30393657.1","43402668.444","no","SNRI antidepressant; treats major depressive disorder"
"Ulticare Pen Needle","Pen Needle, Diabetic","12","84567.3","122167","28871297.9","43217237.333","no","Diabetic supply; pen needle for insulin injection"
"Methylphenidate HCl","Methylphenidate HCl","12","102351.2","108959","41083103.9","42882297.25","no","Stimulant; treats ADHD and narcolepsy"
"Pyridostigmine Bromide","Pyridostigmine Bromide","12","44055.6","56300","34141637","42722065.833","no","Cholinesterase inhibitor; treats myasthenia gravis"
"Hydroxyurea","Hydroxyurea","12","76754.3","102368","30507728.6","42036685.69","yes","Antimetabolite; treats CML, polycythemia vera, sickle cell disease"
"Ziprasidone HCl","Ziprasidone HCl","12","107212.4","82972","47611075.4","40445527.807","no","Atypical antipsychotic; treats schizophrenia and bipolar disorder"
"Fluocinonide","Fluocinonide","12","454481.8","379768","47885510.9","40344234.962","no","Topical corticosteroid; treats inflammatory skin conditions"
"Clotrimazole*","Clotrimazole","10","470196.9","538888","36083470.1","40131638.804","no","Topical antifungal; treats candidiasis and dermatophyte infections"
"Xiidra","Lifitegrast","8","83336.5","149642","20567648","39876358","no","LFA-1 antagonist; treats dry eye disease"
"Insulin Syringe","Syringe And Needle,Insulin,1ml","12","266618.2","125222","94376601.8","39792273.843","no","Diabetic supply; syringe for insulin injection"
"Comfort Ez Pen Needle","Pen Needle, Diabetic","10","61151.8","92044","27937099","39721671.575","no","Diabetic supply; pen needle for insulin injection"
"Suprep","Sodium, Potassium,Mag Sulfates","12","571293.9","108083","207407343.3","39266327","no","Osmotic laxative; bowel preparation before colonoscopy"
"Pentoxifylline","Pentoxifylline","12","96326.2","88717","41340285.3","38936102","no","Hemorrheologic agent; treats intermittent claudication"
"Diltiazem 24hr ER","Diltiazem HCl","12","231446.4","163220","51936815.7","38658178","no","Calcium channel blocker; treats hypertension and angina"
"Fenofibrate","Fenofibrate,Micronized","12","167679.3","137024","43726451.1","38005437","no","Fibrate; lowers triglycerides and raises HDL cholesterol"
"Mometasone Furoate*","Mometasone Furoate","10","437774.8","490025","30042444","37150601.027","no","Topical corticosteroid; treats inflammatory skin conditions"
"Dofetilide","Dofetilide","8","49985.4","65815","25182905.5","37048301.003","no","Antiarrhythmic (Class III); treats atrial fibrillation/flutter"
"Incruse Ellipta","Umeclidinium Bromide","9","205610.3","201618","35963235.5","36556605.1","no","LAMA inhaler; treats COPD"
"Progesterone","Progesterone, Micronized","12","75628.3","142649","15320860.4","36221200.857","no","Progestin; treats endometrial hyperplasia and supports fertility"
"Betamethasone Dipropionate","Betamethasone Dipropionate","12","331075.9","407711","29933927.5","35823079.148","no","Topical corticosteroid; treats inflammatory skin conditions"
"Dorzolamide-Timolol","Dorzolamide HCl/Timolol Maleat","12","498520.7","710453","24055094.8","35787818.815","no","CAI/beta-blocker combo eye drop; treats glaucoma"
"Tolterodine Tartrate ER","Tolterodine Tartrate","10","179297","160195","36892564.4","35340255","no","Anticholinergic; treats overactive bladder"
"Sps*","Sodium Polystyrene Sulfon/Sorb","10","52488.9","59552","35754962.8","35251698.79","no","Cation exchange resin; treats hyperkalemia"
"Albuterol Sulfate*","Albuterol Sulfate","10","177513","122469","58334908.6","35060959.369","no","Short-acting beta-2 agonist; relieves bronchospasm"
"Insulin Syringe","Syringe-Needle,Insulin,0.5 Ml","12","246333.7","91502","94430256.2","34567937.894","no","Diabetic supply; syringe for insulin injection"
"Cefdinir","Cefdinir","12","989478.1","1621815","22342684.8","34430124.857","no","Cephalosporin antibiotic; treats bacterial infections"
"Ssd","Silver Sulfadiazine","12","159580.1","153462","32968346","34331931.921","no","Topical antimicrobial; treats burn wound infections"
"Clindamycin Phosphate*","Clindamycin Phosphate","10","238136.9","303687","30682823","34087859.882","no","Topical antibiotic; treats acne and bacterial skin infections"
"Ibu","Ibuprofen","10","391464.3","154066","61311353.7","33889008","no","NSAID; treats pain, inflammation, and fever"
"Candesartan Cilexetil","Candesartan Cilexetil","11","71075.5","109771","19548260.2","33841903.5","no","ARB; treats hypertension and heart failure"
"Humalog Kwikpen U-100","Insulin Lispro","12","358609.2","418431","28333098.7","33756806.5","no","Rapid-acting insulin analog; treats type 1 and type 2 diabetes"
"Single Use Swab","Alcohol Antiseptic Pads","12","145470.6","100066","57789650.7","33725192.999","no","Antiseptic pad; skin preparation before injection"
"Janumet XR","Sitagliptin Phos/Metformin HCl","12","73542.4","89316","25059275","33399526","no","DPP-4 inhibitor/metformin combo ER; treats type 2 diabetes"
"Minoxidil","Minoxidil","12","65327.7","122359","25909490.1","33129367.043","no","Vasodilator; treats severe hypertension"
"Prochlorperazine Maleate","Prochlorperazine Maleate","12","348946.2","399978","28030019.2","32403126.889","no","Antiemetic/antipsychotic; treats nausea, vomiting, and vertigo"
"Propafenone HCl","Propafenone HCl","12","61669.2","51674","38934959.5","32184983","no","Antiarrhythmic (Class IC); treats atrial fibrillation/flutter"
"Leflunomide","Leflunomide","12","97891.1","136112","20625477.6","32118325.786","no","Immunomodulator (DMARD); treats rheumatoid arthritis"
"Trospium Chloride","Trospium Chloride","12","66603","114171","18419168","32046404.5","no","Anticholinergic; treats overactive bladder"
"Pilocarpine HCl*","Pilocarpine HCl","10","85033.3","91595","26227033.8","32021247","no","Cholinergic agonist; treats glaucoma and dry mouth"
"Oxycontin","Oxycodone HCl","12","176803.6","65061","81904314.9","31922468","no","Opioid analgesic ER; treats severe chronic pain"
"Levemir Flexpen","Insulin Detemir","6","219949.3","346204","19516367.5","31470091.306","no","Long-acting insulin analog; treats type 1 and type 2 diabetes"
"Multaq","Dronedarone HCl","12","74726","71895","32282480.1","31287525.5","no","Antiarrhythmic; treats atrial fibrillation/flutter"
"Jantoven","Warfarin Sodium","12","154152.2","97034","44920592.6","31216981.192","no","Anticoagulant; prevents and treats thromboembolic disorders"
"Lithium Carbonate ER","Lithium Carbonate","12","63693.6","61548","30982066.4","30825587.532","no","Mood stabilizer ER; treats bipolar disorder"
"Terbinafine HCl","Terbinafine HCl","12","295279.1","415181","20265439.3","30209503.365","no","Antifungal; treats onychomycosis and dermatophyte infections"
"Pen Needle","Pen Needle, Diabetic","12","84056.6","91653","24825618.4","30144214","no","Diabetic supply; pen needle for insulin injection"
"Verapamil HCl*","Verapamil HCl","10","75428.8","60545","31356660.3","29179945.93","no","Calcium channel blocker; treats hypertension, angina, arrhythmias"
"Glyburide","Glyburide","12","185927.8","59131","83024415.5","28906072","no","Sulfonylurea; stimulates insulin release for type 2 diabetes"
"Fludrocortisone Acetate","Fludrocortisone Acetate","12","99730.7","110294","26033382.5","28749262.77","no","Mineralocorticoid; treats adrenal insufficiency"
"Indapamide","Indapamide","12","100743.2","97501","27787248.2","28651760.667","no","Thiazide-like diuretic; treats hypertension and edema"
"Carisoprodol","Carisoprodol","12","164174.4","62766","67676037.1","28635634.5","no","Muscle relaxant; treats acute musculoskeletal pain"
"Ciclopirox","Ciclopirox Olamine","12","168349.8","233909","20552822.2","28494843.948","no","Topical antifungal; treats dermatophyte and yeast infections"
"Autoshield Duo Pen Needle","Pen Needle,Dual Safety,Diabetc","12","39527.6","65587","15567129.7","28274579.68","no","Diabetic supply; safety pen needle for insulin injection"
"Basaglar Kwikpen U-100","Insulin Glargine,Hum.Rec.Anlog","8","269569.9","352073","21526358.7","27938494.012","no","Long-acting insulin analog; treats type 1 and type 2 diabetes"
"Atenolol-Chlorthalidone","Atenolol/Chlorthalidone","12","127303.8","95405","34144016.5","27760347.317","no","Beta-blocker/diuretic combo; treats hypertension"
"Timolol Maleate*","Timolol Maleate","10","713429.6","789738","24319310","27626030.926","no","Beta-blocker eye drop; treats glaucoma"
"Amlodipine-Valsartan","Amlodipine Besylate/Valsartan","10","75260.9","97478","16726535.2","27604170.25","no","CCB/ARB combo; treats hypertension"
"Memantine HCl ER","Memantine HCl","6","136645.8","106263","32756864.3","27541195","no","NMDA antagonist ER; treats moderate to severe Alzheimer's disease"
"Premarin*","Estrogens, Conjugated","10","363010","241518","42368212","27362742.852","no","Conjugated estrogens; treats menopausal symptoms and osteoporosis"
"Ozempic","Semaglutide","6","523555.2","1464468","8394721.8","26990261.403","no","GLP-1 receptor agonist; treats type 2 diabetes and obesity"
"Vancomycin HCl*","Vancomycin HCl","10","154621.1","161077","51745729.7","26737168.228","no","Glycopeptide antibiotic; treats serious bacterial infections (oral: C. diff)"
"Alcohol Pads","Alcohol Antiseptic Pads","12","65092.2","50736","31483322.3","26689599.575","no","Antiseptic pad; skin preparation before injection"
"Prednisolone Acetate","Prednisolone Acetate","12","1592161","2012515","20671537.4","26276928.948","no","Corticosteroid eye drop; treats ocular inflammation"
"Felodipine ER","Felodipine","12","113866.7","81200","34904223.5","26191252","no","Calcium channel blocker; treats hypertension"
"Verapamil SR","Verapamil HCl","12","70074.2","89811","18080842.7","26085604","no","Calcium channel blocker; treats hypertension, angina, arrhythmias"
"Tamoxifen Citrate","Tamoxifen Citrate","12","94831.6","97487","25184867.3","25657348.857","yes","Selective estrogen receptor modulator; treats/prevents breast cancer"
"Fluconazole","Fluconazole","12","1596312.5","2001592","20374633.1","25574979.885","no","Triazole antifungal; treats systemic and mucosal fungal infections"
"Fluvoxamine Maleate","Fluvoxamine Maleate","12","43691.6","51310","20420606.1","25187217.931","no","SSRI antidepressant; treats OCD, social anxiety, depression"
"Rivastigmine","Rivastigmine Tartrate","12","53346.8","56505","22440559.8","25126669.666","no","Cholinesterase inhibitor; treats Alzheimer's and Parkinson's dementia"
"Sildenafil Citrate","Sildenafil Citrate","9","115438.9","253277","19556871.7","24926902.3","no","PDE5 inhibitor; treats erectile dysfunction and pulmonary hypertension"
"Lantus","Insulin Glargine,Hum.Rec.Anlog","12","563198.5","279981","55975081","24898755.174","no","Long-acting insulin analog; treats type 1 and type 2 diabetes"
"Trintellix","Vortioxetine Hydrobromide","8","86869.1","98771","18750786.8","23850297.5","no","Multimodal antidepressant; treats major depressive disorder"
"Ultra-Fine Micro Pen Needle","Pen Needle, Diabetic","7","38178.4","68927","12634206","23760914.556","no","Diabetic supply; pen needle for insulin injection"
"Biktarvy","Bictegrav/Emtricit/Tenofov Ala","6","57758.8","83843","15557231.6","23678920.5","no","Integrase inhibitor combo; treats HIV-1 infection"
"Eszopiclone","Eszopiclone","10","119878.1","149281","19102352.3","23677139.5","no","Non-benzodiazepine hypnotic; treats insomnia"
"Easy Touch Alcohol Prep Pads","Alcohol Antiseptic Pads","11","30380.2","61963","11374479","23667400.858","no","Antiseptic pad; skin preparation before injection"
"Unifine Pentips","Pen Needle, Diabetic","12","80980.1","67242","28195500.5","23500240.466","no","Diabetic supply; pen needle for insulin injection"
"Nitrofurantoin","Nitrofurantoin Macrocrystal","12","319436","313690","22476159.4","23394282.504","no","Nitrofurantoin antibiotic; treats urinary tract infections"
"Dilt-XR","Diltiazem HCl","12","132184.8","106695","32630214.9","23316342.556","no","Calcium channel blocker ER; treats hypertension and angina"
"Quetiapine Fumarate ER","Quetiapine Fumarate","8","69451.6","76394","17486832.1","23298882","no","Atypical antipsychotic ER; treats schizophrenia and bipolar disorder"
"Fluorouracil*","Fluorouracil","10","377607.1","500442","17190377.8","23206650.149","yes","Topical antimetabolite; treats actinic keratoses and superficial basal cell carcinoma"
"Benazepril-Hydrochlorothiazide","Benazepril/Hydrochlorothiazide","12","91991.2","68689","26971705.6","22773917.5","no","ACE inhibitor/diuretic combo; treats hypertension"
"Klor-Con M10","Potassium Chloride","11","172193.7","77086","40633679.5","22691728.6","no","Electrolyte supplement; treats/prevents hypokalemia"
"Alcohol Swabs","Alcohol Antiseptic Pads","12","44106.3","66805","12960283.8","22066912.7","no","Antiseptic pad; skin preparation before injection"
"Metolazone","Metolazone","12","265899.6","221550","28600761.3","21852479.029","no","Thiazide-like diuretic; treats resistant edema and hypertension"
"Levofloxacin*","Levofloxacin","10","2462456.9","1827884","28282267.7","21578724.408","no","Fluoroquinolone antibiotic; treats bacterial infections"
"Etodolac","Etodolac","12","140521.8","99162","28427645.8","21251851","no","NSAID; treats pain and arthritis"
"Sumatriptan Succinate*","Sumatriptan Succinate","10","378621.2","453972","17576180.3","21048575.663","no","Triptan; treats acute migraine attacks"
"Glycopyrrolate*","Glycopyrrolate","10","43574.1","51524","14737469.7","20990238.559","no","Anticholinergic; reduces respiratory secretions and treats bradycardia"
"Synjardy XR","Empagliflozin/Metformin HCl","7","27092.6","58868","9028425.7","20889934","no","SGLT2 inhibitor/metformin combo; treats type 2 diabetes"
"Nadolol","Nadolol","12","86539","65690","26448039.2","20683549.5","no","Non-selective beta-blocker; treats hypertension and angina"
"Xtampza ER","Oxycodone Myristate","8","36892.6","52082","13258011.6","20551975","no","Opioid analgesic ER; treats severe chronic pain"
"Dextroamphetamine-Amphet ER","Dextroamphetamine/Amphetamine","12","67822.6","97857","17563361.6","20491099","no","Stimulant ER; treats ADHD and narcolepsy"
"Nyamyc","Nystatin","12","149413.8","223063","13924593.2","20448574.045","no","Topical antifungal; treats candidiasis"
"Eplerenone","Eplerenone","12","41992.8","67162","12124493.3","20409666.861","no","Mineralocorticoid receptor antagonist; treats heart failure and hypertension"
"Diltiazem 24hr ER (XR)","Diltiazem HCl","6","76573.2","91898","19166244.2","20346403","no","Calcium channel blocker ER; treats hypertension and angina"
"Tresiba Flextouch U-100","Insulin Degludec","9","146879.4","258451","11252528","20224379","no","Ultra-long-acting insulin analog; treats type 1 and type 2 diabetes"
"Prasugrel HCl","Prasugrel HCl","7","74105.3","85432","16317190.7","20199857","no","P2Y12 antiplatelet; prevents thrombotic events in ACS"
"Armour Thyroid","Thyroid,Pork","12","56358.3","64967","16157884.2","20047145.858","no","Desiccated thyroid; treats hypothyroidism (natural T3/T4)"
"Amlodipine-Olmesartan","Amlodipine Bes/Olmesartan Med","8","50175.6","74543","11961837.2","20038753.5","no","CCB/ARB combo; treats hypertension"
"Xifaxan","Rifaximin","12","73181.6","96011","15877105.8","19848575.889","no","Non-absorbable antibiotic; treats hepatic encephalopathy and IBS-D"
"Betamethasone Diprop Augmented","Betamethasone/Propylene Glyc","10","201752.5","206429","18551918.4","19807303.29","no","Augmented topical corticosteroid; treats severe dermatoses"
"Sure Comfort Pen Needle","Pen Needle, Diabetic","6","47454.3","57064","15871159.4","19332297.937","no","Diabetic supply; pen needle for insulin injection"
"Ezetimibe-Simvastatin","Ezetimibe/Simvastatin","7","65490","65526","17523760.8","19304954","no","Cholesterol absorption inhibitor/statin combo; lowers LDL cholesterol"
"Rabeprazole Sodium","Rabeprazole Sodium","11","53596.8","65972","13987482.3","19286556","no","Proton pump inhibitor; treats GERD and peptic ulcers"
"Cholestyramine Light","Cholestyramine/Aspartame","12","39799.6","56814","17143845.1","19208414.264","no","Bile acid sequestrant; lowers LDL cholesterol"
"Vraylar","Cariprazine HCl","8","48598","98229","9341293.7","19167941.733","no","Atypical antipsychotic; treats schizophrenia and bipolar disorder"
"Santyl","Collagenase Clostridium Hist.","10","174680.9","148983","17443850.4","19157845.381","no","Enzymatic debriding agent; treats chronic dermal ulcers and burns"
"Diclofenac Potassium","Diclofenac Potassium","12","145995.3","147980","19436134.3","19080622.5","no","NSAID; treats pain, inflammation, and arthritis"
"Fosinopril Sodium","Fosinopril Sodium","12","79819.7","50736","25801132.1","18691523","no","ACE inhibitor; treats hypertension and heart failure"
"Minocycline HCl","Minocycline HCl","12","183196.3","158316","21537693.8","18436086.213","no","Tetracycline antibiotic; treats bacterial infections, acne, rosacea"
"CyproHEPtadine HCl","CyproHEPtadine HCl","12","54571.9","66484","13050273.1","18294900.57","no","Antihistamine; appetite stimulant, treats allergies and migraines"
"Lidocaine-Prilocaine","Lidocaine/Prilocaine","12","207408.2","190729","45351032","18128098.788","no","Topical anesthetic combo; numbs skin before procedures"
"Cefuroxime","Cefuroxime Axetil","12","809583","873273","18109514.7","18062299.33","no","Cephalosporin antibiotic; treats bacterial infections"
"Penicillin V Potassium","Penicillin V Potassium","12","494597.2","384413","21863949.8","17916176.6","no","Penicillin antibiotic; treats streptococcal and other bacterial infections"
"Tramadol HCl-Acetaminophen","Tramadol HCl/Acetaminophen","12","228562.9","120732","43614979.4","17913466","no","Opioid analgesic combination; treats moderate pain"
"Telmisartan-Hydrochlorothiazid","Telmisartan/Hydrochlorothiazid","10","51448.2","61307","12483301.1","17553213","no","ARB/diuretic combo; treats hypertension"
"Invokana","Canagliflozin","11","136389.8","69576","29224404.6","17454648","no","SGLT2 inhibitor; treats type 2 diabetes and reduces cardiovascular risk"
"Livalo","Pitavastatin Calcium","11","65079.1","70926","14094205.4","17394226.5","no","Statin; lowers cholesterol to reduce cardiovascular risk"
"Trueplus Pen Needle","Pen Needle, Diabetic","7","60671.1","58500","18746981","17254820.245","no","Diabetic supply; pen needle for insulin injection"
"Novolog","Insulin Aspart","12","259293.8","148967","23314218.2","17194178.113","no","Rapid-acting insulin analog; treats type 1 and type 2 diabetes"
